Property_Title,Price,Area_SqFt,BHK,Bathrooms,Furnishing_Status,Property_Type,Seller_Type,Project_Name,Locality,Posted_Date,Floor_Number,Source_Website,Raw_JSON,URL,Description
,"₹87 Lac
₹4,943 /sqft",1760.0,3,,,,,,,,,99acres,"""\u20b987 Lac\n\u20b94,943 /sqft\n1,760 sqft\n(164 sqm)\nSuper Built-up Area\n3 BHK\nUnder Construction""",,"₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction"
,"₹87 Lac
₹4,943 /sqft",1760.0,3,,,,,,,,,99acres,"""\u20b987 Lac\n\u20b94,943 /sqft\n1,760 sqft\n(164 sqm)\nSuper Built-up Area\n3 BHK\nUnder Construction""",,"₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction"
,"₹87 Lac
₹4,943 /sqft",1760.0,3,,,,,,,,,99acres,"""\u20b987 Lac\n\u20b94,943 /sqft\n1,760 sqft\n(164 sqm)\nSuper Built-up Area\n3 BHK\nUnder Construction""",,"₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction"
,"₹87 Lac
₹4,943 /sqft",1760.0,3,,,,,,,,,99acres,"""\u20b987 Lac\n\u20b94,943 /sqft\n1,760 sqft\n(164 sqm)\nSuper Built-up Area\n3 BHK\nUnder Construction""",,"₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction"
,"₹87 Lac
₹4,943 /sqft",1760.0,3,,,,,,,,,99acres,"""\u20b987 Lac\n\u20b94,943 /sqft\n1,760 sqft\n(164 sqm)\nSuper Built-up Area\n3 BHK\nUnder Construction""",,"₹87 Lac
₹4,943 /sqft
1,760 sqft
(164 sqm)
Super Built-up Area
3 BHK
Under Construction"
"3 BHK Apartment in Shela, Ahmedabad",,2010.0,3,,,Apartment,Builder,,,,,99acres,"""New Launch \u00b7 Completion in Dec, 2028\n1/10\nDev The Galaxy\nNEW BOOKING\n3 BHK Apartment in Shela, Ahmedabad\n3 BHK Apartment\n\u20b91.06 Cr\nNearby :\nWyndham Ahmedabad Shela Hotel\nApplewoods Galleria Mall\n+3\n\nLooking for your dream home? Explore 3 BHK apartments in Shela, now available in Dev The Galaxy. Apartments in Dev The Galaxy have SUPER area ranging between 2,010 sqft. The housing society is RERA-registered with MAA16047/271025/311230 registration number. Prices of apartments in this project, vary b""",https://www.99acres.com/dev-the-galaxy-shela-ahmedabad-west-npxid-r455919,"New Launch · Completion in Dec, 2028
1/10
Dev The Galaxy
NEW BOOKING
3 BHK Apartment in Shela, Ahmedabad
3 BHK Apartment
₹1.06 Cr
Nearby :
Wyndham Ahmedabad Shela Hotel
Applewoods Galleria Mall
+3

Lo"
"3 BHK Apartment in Shela, Ahmedabad",,2010.0,3,,,Apartment,Builder,,,,,99acres,"""New Launch \u00b7 Completion in Dec, 2028\n1/10\nDev The Galaxy\nNEW BOOKING\n3 BHK Apartment in Shela, Ahmedabad\n3 BHK Apartment\n\u20b91.06 Cr\nNearby :\nWyndham Ahmedabad Shela Hotel\nApplewoods Galleria Mall\n+3\n\nLooking for your dream home? Explore 3 BHK apartments in Shela, now available in Dev The Galaxy. Apartments in Dev The Galaxy have SUPER area ranging between 2,010 sqft. The housing society is RERA-registered with MAA16047/271025/311230 registration number. Prices of apartments in this project, vary b""",https://www.99acres.com/dev-the-galaxy-shela-ahmedabad-west-npxid-r455919,"New Launch · Completion in Dec, 2028
1/10
Dev The Galaxy
NEW BOOKING
3 BHK Apartment in Shela, Ahmedabad
3 BHK Apartment
₹1.06 Cr
Nearby :
Wyndham Ahmedabad Shela Hotel
Applewoods Galleria Mall
+3

Lo"
"3 BHK Apartment in Shela, Ahmedabad",,2010.0,3,,,Apartment,,,,,,99acres,"""New Launch \u00b7 Completion in Dec, 2028\n1/10\nDev The Galaxy\nNEW BOOKING\n3 BHK Apartment in Shela, Ahmedabad\n3 BHK Apartment\n\u20b91.06 Cr\nNearby :\nWyndham Ahmedabad Shela Hotel\nApplewoods Galleria Mall\n+3\n\nLooking for your dream home? Explore 3 BHK apartments in Shela, now available in Dev The Galaxy. Apartments in Dev The Galaxy have SUPER area ranging between 2,010 sqft. The housing society is RERA-registered with MAA16047/271025/311230 registration number. Prices of apartments in this project, vary b""",https://www.99acres.com/dev-the-galaxy-shela-ahmedabad-west-npxid-r455919,"New Launch · Completion in Dec, 2028
1/10
Dev The Galaxy
NEW BOOKING
3 BHK Apartment in Shela, Ahmedabad
3 BHK Apartment
₹1.06 Cr
Nearby :
Wyndham Ahmedabad Shela Hotel
Applewoods Galleria Mall
+3

Lo"
"3 BHK Apartment in Shela, Ahmedabad",,2010.0,3,,,Apartment,,,,,,99acres,"""Dev The Galaxy\nNEW BOOKING\n3 BHK Apartment in Shela, Ahmedabad\n3 BHK Apartment\n\u20b91.06 Cr\nNearby :\nWyndham Ahmedabad Shela Hotel\nApplewoods Galleria Mall\n+3\n\nLooking for your dream home? Explore 3 BHK apartments in Shela, now available in Dev The Galaxy. Apartments in Dev The Galaxy have SUPER area ranging between 2,010 sqft. The housing society is RERA-registered with MAA16047/271025/311230 registration number. Prices of apartments in this project, vary between Rs. 1.06 Cr""",https://www.99acres.com/dev-the-galaxy-shela-ahmedabad-west-npxid-r455919,"Dev The Galaxy
NEW BOOKING
3 BHK Apartment in Shela, Ahmedabad
3 BHK Apartment
₹1.06 Cr
Nearby :
Wyndham Ahmedabad Shela Hotel
Applewoods Galleria Mall
+3

Looking for your dream home? Explore 3 BHK a"
"3 BHK Apartment in Shela, Ahmedabad",,2010.0,3,,,Apartment,,,,,,99acres,"""Dev The Galaxy\nNEW BOOKING\n3 BHK Apartment in Shela, Ahmedabad\n3 BHK Apartment\n\u20b91.06 Cr\nNearby :\nWyndham Ahmedabad Shela Hotel\nApplewoods Galleria Mall\n+3\n\nLooking for your dream home? Explore 3 BHK apartments in Shela, now available in Dev The Galaxy. Apartments in Dev The Galaxy have SUPER area ranging between 2,010 sqft. The housing society is RERA-registered with MAA16047/271025/311230 registration number. Prices of apartments in this project, vary between Rs. 1.06 Cr""",https://www.99acres.com/dev-the-galaxy-shela-ahmedabad-west-npxid-r455919,"Dev The Galaxy
NEW BOOKING
3 BHK Apartment in Shela, Ahmedabad
3 BHK Apartment
₹1.06 Cr
Nearby :
Wyndham Ahmedabad Shela Hotel
Applewoods Galleria Mall
+3

Looking for your dream home? Explore 3 BHK a"
