Model,R2,RMSE,MAE
Weighted Ensemble,0.8412750696593595,27.162301362492293,15.230066786718632
XGBoost,0.837598658098036,27.47506936233502,14.231121558937605
Voting Ensemble,0.8357197722626895,27.63354731946136,16.40138106391452
GradientBoosting,0.8298830359411019,28.120160980730045,15.706277984716722
RandomForest,0.8266741060215936,28.384138364341656,16.620308252691135
ExtraTrees,0.8230466883673379,28.67961639737401,15.092690273235629
CatBoost,0.8182722271367393,29.063950344844137,18.121472410697546
LightGBM,0.808923207785534,29.80217507351251,18.205049465425642
AdaBoost,0.4998077606359176,48.21836336409556,40.980855651403864
